CODE;NAME;CODECITY;LONGITUDE;LATITTUDE;CATEGORY
CLT;CHARLOTTE DOUGLAS;670;35.216667;-80.933334;AIRPORT
ZTZ;CHEMNITZ RAILWAY STN.;678;53.583332;13.15;AIRPORT
CTU;SHUANGLIU;680;30.578611;103.94722;AIRPORT
CYI;CHIAYI;686;23.466667;120.38333;AIRPORT
DPA;DUPAGE COUNTY;688;41.914444;-88.24639;AIRPORT
CHI;CHICAGO FSS;688;41.883057;-87.76611;AIRPORT
MDW;MIDWAY;688;41.783333;-87.75;AIRPORT
PWK;PAL-WAUKEE;688;42.0;-87.96667;AIRPORT
CIX;CORNEL RUIZ;689;-6.783333;-79.833336;AIRPORT
YAI;CHILLAN;694;-36.566666;-72.03333;AIRPORT
KIV;INTERNATIONAL AIRPORT CHISINAU;706;46.92889;28.926666;AIRPORT
CFG;CIENFUEGOS;729;22.166668;-80.51667;AIRPORT
CXP;TUNGGUL WULUNG;730;7.733333;109.0;AIRPORT
CBN;PENGGUNG;740;-6.75;108.53333;AIRPORT
CBL;CIUDAD BOLIVAR;743;8.133333;-63.533333;AIRPORT
CGU;CIUDAD GUAYANA;748;8.583333;-64.21667;AIRPORT
BKL;BURKE LAKEFRONT;758;41.511112;-81.68889;AIRPORT
CBB;J WILSTERMAN;762;-17.4;-66.15;AIRPORT
CJB;PEELAMEDU;767;11.03;77.043335;AIRPORT
CBP;COIMBRA;768;40.16139;-8.472222;AIRPORT
CLQ;COLIMA;771;19.3;-103.666664;AIRPORT
FCS;BUTTS AAF;775;19.45;-71.7;AIRPORT
AFF;USAF ACADEMY AIRSTRIP;775;38.969723;-104.81306;AIRPORT
GTR;GOLDEN TRIANGLE REG.;776;33.466667;-88.38333;AIRPORT
LSF;LAWSON AAF;776;32.337223;-84.99139;AIRPORT
UBS;LOWNDES COUNTY;776;33.449722;-88.36583;AIRPORT
CMH;PORT COLUMBUS INTL;776;40.0;-82.88333;AIRPORT
LCK;RICKENBACKER;776;40.002777;-82.88333;AIRPORT
CLA;COMILLA;778;23.433332;91.183334;AIRPORT
CEP;CONCEPCION;784;-16.233334;-62.083332;AIRPORT
CCP;CARRIEL SUR;784;-36.79;-73.08444;AIRPORT
CON;CONCORD;785;6.683333;-57.9;AIRPORT
CCI;CONCORDIA;786;-27.25;-52.033333;AIRPORT
CZL;AIN EL BEY;789;36.28528;6.619167;AIRPORT
COW;COQUIMBO;792;-33.45;-57.733334;AIRPORT
ORK;CORK;798;51.84722;-8.497222;AIRPORT
CMG;INTL. AIRPORT CORUMBA;806;-19.011389;-57.666943;AIRPORT
CBO;AWANG;809;7.2;124.166664;AIRPORT
COO;COTONOU;813;6.35;2.383333;AIRPORT
ZTT;COTTBUS RAILWAY STN.;814;51.77889;14.364444;AIRPORT
CCG;CRANE COUNTY ARPT;818;31.4;-102.35;AIRPORT
CCM;CRICIUMA;822;-28.7;-49.36667;AIRPORT
CUC;CAMILO DAZO;827;7.916667;-72.53333;AIRPORT
CDP;CUDDAPAH;829;14.516667;78.78333;AIRPORT
CGB;INTL. AIRPT. MARECHAL RONDON;832;-15.653056;-56.11667;AIRPORT
CUM;CUMANA;834;10.45;-64.183334;AIRPORT
CWB;AFONSO PENA INTERNATIONAL AIRPORT;837;-25.52861;-49.175835;AIRPORT
CZW;CZESTOCHOWA;839;50.816666;19.1;AIRPORT
DAD;DA NANG;841;16.033333;108.183334;AIRPORT
DDU;DADU;845;30.491667;71.30278;AIRPORT
DKR;DAKAR-YOFF-L?OPOLD S?DAR SENGHOR INTERNATIONAL;848;14.739722;-17.490278;AIRPORT
DLC;DALIAN;851;38.965557;121.53861;AIRPORT
DNE;DALLAS NORTH AIRPORT;852;7.716667;40.916668;AIRPORT
JMD;MARKET CENTRE H/P;852;7.716667;40.916668;AIRPORT
DAL;LOVE FIELD;852;32.85278;-96.85;AIRPORT
JNH;NORTH PARK INN H/P;852;7.716667;40.916668;AIRPORT
RBD;REDBIRD;852;7.716667;40.916668;AIRPORT
XZF;DAMMAM PORT;857;21.516945;39.219166;AIRPORT
DGP;DAUGAVPILS;872;55.933334;29.683332;AIRPORT
DVN;DAVENPORT;875;-24.233334;141.06667;AIRPORT
DAX;DAXIAN;876;31.3;107.5;AIRPORT
MGY;DAYTON-WRIGHT BROTHERS AIRPORT;878;39.58889;-84.224724;AIRPORT
