CATEGORY,SUBCATEGORY,REGEXPR,PRIMARYKEY,FOREIGNKEY
TIME_SECONDS,TIME_SECONDS_EN_PS,^[0-9]+(\.\d+)?\s+(PS|PETASECOND|PETASECONDS)$,,
TIME_SECONDS,TIME_SECONDS_FR_TS,^[0-9]+(\.\d+)?\s+(TS|T�RASECONDE|T�RASECONDES)$,,
TIME_SECONDS,TIME_SECONDS_EN_TS,^[0-9]+(\.\d+)?\s+(TS|TERASECOND|TERASECONDS)$,,
TIME_SECONDS,TIME_SECONDS_FR_GS,^[0-9]+(\.\d+)?\s+(GS|GIGASECONDE|GIGASECONDES)$,,
TIME_SECONDS,TIME_SECONDS_EN_GS,^[0-9]+(\.\d+)?\s+(GS|GIGASECOND|GIGASECONDS)$,,
TIME_SECONDS,TIME_SECONDS_FR_MGS,^[0-9]+(\.\d+)?\s+(MGS|M�GASECONDE|M�GASECONDES)$,,
TIME_SECONDS,TIME_SECONDS_EN_MGS,^[0-9]+(\.\d+)?\s+(MGS|MEGASECOND|MEGASECONDS)$,,
TIME_SECONDS,TIME_SECONDS_FR_KS,^[0-9]+(\.\d+)?\s+(KS|KILOSECONDE|KILOSECONDES)$,,
TIME_SECONDS,TIME_SECONDS_EN_KS,^[0-9]+(\.\d+)?\s+(KS|KILOSECOND|KILOSECONDS)$,,
TIME_SECONDS,TIME_SECONDS_FR_HS,^[0-9]+(\.\d+)?\s+(HS|HECTOSECONDE|HECTOSECONDES)$,,
TIME_SECONDS,TIME_SECONDS_EN_HS,^[0-9]+(\.\d+)?\s+(HS|HECTOSECOND|HECTOSECONDS)$,,
TIME_SECONDS,TIME_SECONDS_FR_DAS,^[0-9]+(\.\d+)?\s+(DAS|D�CASECONDES|D�CASECONDES)$,,
TIME_SECONDS,TIME_SECONDS_EN_DAS,^[0-9]+(\.\d+)?\s+(DAS|DECASECONDS|DECASECONDS)$,,
TIME_SECONDS,TIME_SECONDS_FR_S,^[0-9]+(\.\d+)?\s+(S|SECONDE|SECONDES)$,,
TIME_SECONDS,TIME_SECONDS_EN_S,^[0-9]+(\.\d+)?\s+(S|SECOND|SECONDS)$,,
TIME_SECONDS,TIME_SECONDS_FR_DS,^[0-9]+(\.\d+)?\s+(DS|D�CISECONDE|D�CISECONDES)$,,
TIME_SECONDS,TIME_SECONDS_EN_DS,^[0-9]+(\.\d+)?\s+(DS|DCISECOND|DECISECONDS)$,,
TIME_SECONDS,TIME_SECONDS_FR_CS,^[0-9]+(\.\d+)?\s+(CS|CENTISECONDE|CENTISECONDES)$,,
TIME_SECONDS,TIME_SECONDS_EN_CS,^[0-9]+(\.\d+)?\s+(CS|CENTISECOND|CENTISECONDS)$,,
TIME_SECONDS,TIME_SECONDS_FR_MS,^[0-9]+(\.\d+)?\s+(MS|MILLLISECONDE|MILLISECONDES)$,,
TIME_SECONDS,TIME_SECONDS_EN_MS,^[0-9]+(\.\d+)?\s+(MS|MILLLISECOND|MILLISECONDS)$,,
TIME_SECONDS,TIME_SECONDS_FR_US,^[0-9]+(\.\d+)?\s+(US|MICROSECONDE|MICROSECONDES)$,,
TIME_SECONDS,TIME_SECONDS_EN_US,^[0-9]+(\.\d+)?\s+(US|MICROSECOND|MICROSECONDS)$,,
TIME_SECONDS,TIME_SECONDS_FR_NS,^[0-9]+(\.\d+)?\s+(NS|NANOSECONDE|NANOSECONDES)$,,
TIME_SECONDS,TIME_SECONDS_EN_NS,^[0-9]+(\.\d+)?\s+(NS|NANOSECOND|NANOSECONDS)$,,
TIME_SECONDS,TIME_SECONDS_FR_PS,^[0-9]+(\.\d+)?\s+(PS|PICOSECONDE|PICOSECONDES)$,,
TIME_SECONDS,TIME_SECONDS_EN_PS,^[0-9]+(\.\d+)?\s+(PS|PICOSECOND|PICOSECONDS)$,,
TIME_SECONDS,TIME_SECONDS_FR_FS,^[0-9]+(\.\d+)?\s+(FS|FEMTOSECONDE|FEMTOSECONDES)$,,
TIME_SECONDS,TIME_SECONDS_EN_FS,^[0-9]+(\.\d+)?\s+(FS|FEMTOSECOND|FEMTOSECONDS)$,,
TIME_SECONDS,TIME_SECONDS_FR_AS,^[0-9]+(\.\d+)?\s+(AS|ATTOSECONDE|ATTOSECONDES)$,,
TIME_SECONDS,TIME_SECONDS_EN_AS,^[0-9]+(\.\d+)?\s+(AS|ATTOSECOND|ATTOSECONDS)$,,
TIME_SECONDS,TIME_SECONDS_FR_ZPS,^[0-9]+(\.\d+)?\s+(ZPS|ZEPTOSECONDE|ZEPTOSECONDES)$,,
TIME_SECONDS,TIME_SECONDS_EN_ZPS,^[0-9]+(\.\d+)?\s+(ZPS|ZEPTOSECOND|ZEPTOSECONDS)$,,
TIME_SECONDS,TIME_SECONDS_FR_YCS,^[0-9]+(\.\d+)?\s+(YCS|YOCTOSECONDE|YOCTOSECONDES)$,,
TIME_SECONDS,TIME_SECONDS_EN_YCS,^[0-9]+(\.\d+)?\s+(YCS|YOCTOSECOND|YOCTOSECONDS)$,,
ASTRONOMY_DISTANCE,CENTURY_FR_LIGHT,^[0-9]+(\.\d+)?\s+(SIECLE_LUMIERE|SIECLE_LUMIERE)$,,
ASTRONOMY_DISTANCE,CENTURY_EN_LIGHT,^[0-9]+(\.\d+)?\s+(CENTURY_LIGHT|CENTERIES_LIGHT)$,,
ASTRONOMY_DISTANCE,LIGHT_FR_YEAR,^[0-9]+(\.\d+)?\s+(ANNEE_LUMIERE|ANNEES_LUMIERE)$,,
ASTRONOMY_DISTANCE,LIGHT_EN_YEAR,^[0-9]+(\.\d+)?\s+(YEAR_LIGHT|YEARS_LIGHT)$,,
ASTRONOMY_DISTANCE,DAY_FR_LIGHT,^[0-9]+(\.\d+)?\s+(JOUR_LUMIERE|JOURS_LUMIERE)$,,
ASTRONOMY_DISTANCE,DAY_EN_LIGHT,^[0-9]+(\.\d+)?\s+(DAY_LIGHT|DAYS_LIGHT)$,,
ASTRONOMY_DISTANCE,HOUR_LIGHT,^[0-9]+(\.\d+)?\s+(HEURE_LUMIERE|HEURES_LUMIERE)$,,
ASTRONOMY_DISTANCE,MINUTE_FR_LIGHT,^[0-9]+(\.\d+)?\s+(MINUTE_LUMIERE|MINUTES_LUMIERE)$,,
ASTRONOMY_DISTANCE,SECOND_FR_LIGHT,^[0-9]+(\.\d+)?\s+(SECONDE_LUMIERE|SECONDES_LUMIERE)$,,
ASTRONOMY_DISTANCE,SECOND_EN_LIGHT,^[0-9]+(\.\d+)?\s+(SECOND_LUMIERE|SECONDS_LUMIERE)$,,
ASTRONOMY_DISTANCE,PARSC_PC,^[0-9]+(\.\d+)?\s+(PC|PARSEC|PARSECS)$,,
ASTRONOMY_DISTANCE,PARSC_KPC,^[0-9]+(\.\d+)?\s+(KPC|PARSEC|PARSECS)$,,
ASTRONOMY_DISTANCE,PARSC_FR_MPC,^[0-9]+(\.\d+)?\s+(MPC|M�GAPARSEC|M�GAPARSECS)$,,
ASTRONOMY_DISTANCE,PARSC_EN_MPC,^[0-9]+(\.\d+)?\s+(MPC|MEGAPARSECS|MEGAPARSEC)$,,
ASTRONOMY_DISTANCE,PARSC_GPC,^[0-9]+(\.\d+)?\s+(GPC|GIGAPARSEC|GIGAPARSECS)$,,
ASTRONOMY_DISTANCE,ASTRONOMICAL_UNIT_AU,^[0-9]+(\.\d+)?\s+(AU|UA)$,,
SPEED,SPEED_FR_KM/H,^[0-9]+(\.\d+)?\s+(KM\/H|KILOM�TRE\/HEURE|KILOM�TRES\/HEURE)$,,
SPEED,SPEED_EN_KM/H,^[0-9]+(\.\d+)?\s+(KM\/H|KILOMETER\/HOUR|KILOMETERS\/HOUR)$,,
SPEED,SPEED_FR_M/H,^[0-9]+(\.\d+)?\s+(M\/H|M�TRE\/HEURE|M�TRES\/HEURE)$,,
SPEED,SPEED_EN_M/H,^[0-9]+(\.\d+)?\s+(M\/H|METER\/HOUR|METERS\/HOUR)$,,
SPEED,SPEED_FR_MP/H,^[0-9]+(\.\d+)?\s+(MP\/H|MILLE\/HEURE|MILLE\/HEURE)$,,
SPEED,SPEED_EN_MP/H,^[0-9]+(\.\d+)?\s+(MP\/H|MILE\/HOUR|MILE\/HOUR)$,,
SPEED,SPEED_FR_FT/H,^[0-9]+(\.\d+)?\s+(FT\/H|PIERD\/HEURE|PIERDS\/HEURE)$,,
SPEED,SPEED_EN_FT/H,^[0-9]+(\.\d+)?\s+(FT\/H|FEET\/HOUR|FOOT\/HOUR)$,,
SPEED,SPEED_FR_KM/MIN,^[0-9]+(\.\d+)?\s+(KM\/MIN|KILOM�TRE\/MINUTE|KILOM�TRES\/MINUTE)$,,
SPEED,SPEED_EN_KM/MIN,^[0-9]+(\.\d+)?\s+(KM\/MIN|KILOMETER\/MINUTE|KILOMETERS\/MINUTE)$,,
SPEED,SPEED_FR_M/MIN,^[0-9]+(\.\d+)?\s+(M\/MIN|M�TRE\/MINUTE|M�TRES\/MINUTE)$,,
SPEED,SPEED_EN_M/MIN,^[0-9]+(\.\d+)?\s+(M\/MIN|METER\/MINUTE|METERS\/MINUTE)$,,
SPEED,SPEED_FR_MP/MIN,^[0-9]+(\.\d+)?\s+(MP\/MIN|MILLE\/MINUTE|MILLE\/MINUTE)$,,
SPEED,SPEED_EN_MP/MIN,^[0-9]+(\.\d+)?\s+(MP\/MIN|MILE\/MINUTE|MILE\/MINUTE)$,,
SPEED,SPEED_FR_FT/MIN,^[0-9]+(\.\d+)?\s+(FT\/MIN|PIED\/MINITE|PIEDS\/MINUTE)$,,
SPEED,SPEED_EN_FT/MIN,^[0-9]+(\.\d+)?\s+(FT\/MIN|FOOT\/MINITE|FEET\/MINUTE)$,,
SPEED,SPEED_FR_KM/S,^[0-9]+(\.\d+)?\s+(KM\/S|KILOM�TRE\/SECONDE|KILOM�TRES\/SECONDE)$,,
SPEED,SPEED_EN_KM/S,^[0-9]+(\.\d+)?\s+(KM\/S|KILOMETERS\/SECOND|KILOMETER\/SECOND)$,,
SPEED,SPEED_FR_M/S,^[0-9]+(\.\d+)?\s+(M\/S|M�TRE\/SECONDE|M�TRES\/SECONDE)$,,
SPEED,SPEED_EN_M/S,^[0-9]+(\.\d+)?\s+(M\/S|METERS\/SECOND|METER\/SECOND)$,,
SPEED,SPEED_FR_MP/S,^[0-9]+(\.\d+)?\s+(MP\/S|MILLE\/SECONDE|MILLES\/SECONDE)$,,
SPEED,SPEED_EN_MP/S,^[0-9]+(\.\d+)?\s+(MP\/S|MILE\/SECOND|MILES\/SECOND)$,,
SPEED,SPEED_FR_FT/S,^[0-9]+(\.\d+)?\s+(FT\/S|PIED\/SECONDE|PIEDS\/SECONDE)$,,
SPEED,SPEED_EN_FT/S,^[0-9]+(\.\d+)?\s+(FT\/S|FOOT\/SECOND|FEET\/SECOND)$,,
SPEED,SPEED_KT,^[0-9]+(\.\d+)?\s+(KT|NOEUD|NOEUDS)$,,
SPEED,SPEED_FR_SEAMILES/H,^[0-9]+(\.\d+)?\s+(SEAMILLE\/HEURE|MILLE_NAUTIQUE\/HEURE|MILLES_NAUTIQUES\/HEURE)$,,
SPEED,SPEED_EN_SEAMILES/H,^[0-9]+(\.\d+)?\s+(SEAMILES\/HOUR|MILE_NAUTIQUE\/HOUR|MILES_NAUTIQUES\/HOUR)$,,
SPEED,SPEED_FR_MPH,^[0-9]+(\.\d+)?\s+(MPH|MILLE\/HEURE|MILLES\/HEURE)$,,
SPEED,SPEED_EN_MPH,^[0-9]+(\.\d+)?\s+(MPH|MILE\/HOUR|MILES\/HOUR)$,,
SPORT_UNIT,SPORT_UNIT_FR_SEC/KM,^[0-9]+(\.\d+)?\s+(S\/KM|SECONDE\/KILOM�TRE|SECONDES\/KILOM�TRE)$,,
SPORT_UNIT,SPORT_UNIT_EN_SEC/KM,^[0-9]+(\.\d+)?\s+(S\/KM|SECOND\/KILOMETER|SECONDS\/KILOMETER)$,,
SPORT_UNIT,SPORT_UNIT_FR_SEC/M,^[0-9]+(\.\d+)?\s+(S\/M|SECOND\/M�TRE|SECONDS\/M�TRE)$,,
SPORT_UNIT,SPORT_UNIT_EN_SEC/M,^[0-9]+(\.\d+)?\s+(S\/M|SECONDS\/METER|SECOND\/METER)$,,
SPORT_UNIT,SPORT_UNIT_FR_SEC/MILE,^[0-9]+(\.\d+)?\s+(S\/MILE|SECONDE\/MILLE|SECONDS\/MILLE)$,,
SPORT_UNIT,SPORT_UNIT_EN_SEC/MILE,^[0-9]+(\.\d+)?\s+(S\/MILE|SECONDE\/MILE|SECONDS\/MILE)$,,
SPORT_UNIT,SPORT_UNIT_FR_MIN/KM,^[0-9]+(\.\d+)?\s+(MIN\/KM|MINUTE\/KILOM�TRE|MINUTES\/KILOM�TRE)$,,
SPORT_UNIT,SPORT_UNIT_EN_MIN/KM,^[0-9]+(\.\d+)?\s+(MIN\/KM|MINUTE\/KILOMETER|MINUTES\/KILOMETER)$,,
SPORT_UNIT,SPORT_UNIT_FR_MIN/M,^[0-9]+(\.\d+)?\s+(MIN\/M|MINUTE\/M�TRE|MINUTES\/M�TRE)$,,
SPORT_UNIT,SPORT_UNIT_EN_MIN/M,^[0-9]+(\.\d+)?\s+(MIN\/M|MINUTES\/METER|MINUTE\/METER)$,,
SPORT_UNIT,SPORT_UNIT_FR_MIN/MILE,^[0-9]+(\.\d+)?\s+(MIN\/MILE|MINUTE\/MILLE|MINUTES\/MILLE)$,,
SPORT_UNIT,SPORT_UNIT_EN_MIN/MILE,^[0-9]+(\.\d+)?\s+(MIN\/MILE|MINUTE\/MILE|MINUTES\/MILE)$,,
CLOTHING_SIZE,SIZE_JACKETS_COATS_PARKAS_COSTUMES),^(XS|S|M|L|XL|XXL|XXXL)$,,
CLOTHING_SIZE,SIZE_SWEATERS_T-SHIRT_SWEETS_POLOS,^((XS|S|M|L|XL|XXL|XXXL|1|2|3|4|5|6|7))$,,
CLOTHING_SIZE,CLOTHING_SIZE_NUM,^(32|35|36|37|38|39|40|41|42|43|44||45|46|47|48|49|50|51|52)$,,
CLOTHING_SIZE,AMERICAN_SIZE_MAN ,^(XXS|XS|S|M|L|XL|XXL)$,,
CLOTHING_SIZE,AMERICAN_SIZE_WOMEN,^(S|M|L|XL|XXL|XXXL|XXXXL)$,,
CLOTHING_SIZE,SIZE_DRESS_BE,^(34|36|38|40|42|44|46|48|50|52)$,,
CLOTHING_SIZE,SIZE_DRESS_FR,^(34|36|38|40|42|44|46|48|50|52)$,,
CLOTHING_SIZE,SIZE_DRESS_ES,^(34|36|38|40|42|44|46|48|50|52)$,,
CLOTHING_SIZE,SIZE_DRESS_PT,^(34|36|38|40|42|44|46|48|50|52)$,,
CLOTHING_SIZE,SIZE_DRESS_US,^(2|4|6|8|10|12|14|16|18|20)$,,
CLOTHING_SIZE,SIZE_DRESS_GB,^(6|8|10|12|14|16|18|20|22|24)$,,
CLOTHING_SIZE,SIZE_DRESS_AE,^(32|34|36|38|40|42|44|46|48|50)$,,
CLOTHING_SIZE,SIZE_DRESS_NL,^(32|34|36|38|40|42|44|46|48|50)$,,
CLOTHING_SIZE,SIZE_DRESS_SE,^(32|34|36|38|40|42|44|46|48|50)$,,
CLOTHING_SIZE,SIZE_DRESS_IT,^(38|40|42|44|46|48|50|52|54|56)$,,
CLOTHING_SIZE,SIZE_DRESS_AT,^(32|34|36|38|40|42|44|46|48|50)$,,
CLOTHING_SIZE,UNIV_SIZE_DRESS,^(XS|S|M|M|L|L|XL|XL|XXL|3XL)$,,
CLOTHING_SIZE,SIZE_WOMEN_GLOVES_EUR,"^(6,5|7|7,5|8|8,5|9|9,5|10)$",,
CLOTHING_SIZE,SIZE_WOMEN_GLOVES_AM,^(S|M|L|XL)$,,
CLOTHING_SIZE,SIZE_MEN_GLOVES_EUR,"^(6,5|7|7,5|8|8,5|9|9,5|10)$",,
CLOTHING_SIZE,SIZE_MEN_GLOVES_AM,^(XS|S|M|L|XL|XXL)$,,
CLOTHING_SIZE,SIZE_MEN_TROUSSERS_US,^(XS|S|M|L|XL|XXL)$,,
CLOTHING_SIZE,SIZE_TROUSSERS_MEN_FR,^(36/38|40/42|44/46|48/50|52/54|56/58)$,,
SIZE_SHOES,SIZE_WOMEN_SHOES_FR,^(30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50)$,,
SIZE_SHOES,SIZE_MEN_SHOES_FR,^(30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50)$,,
SIZE_SHOES,SIZE_SHOES_EUR,^(35|36|37|38|39|40|41|42|43|44||45|46|47|48|49|50|51|52)$,,
SIZE_SHOES,SIZE_SHOES_US,"^(0,5|1,5|2,5|3,5|4,5|5.5|6,5|7.5|8,5|9,5|10,5|11,5|12,5|13,5|14,5|15,5|16,5|17,5)$",,
SIZE_SHOES,SIZE_SHOES_IT,^(29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49)$,,
SIZE_SHOES,SIZE_SHOES_JP,^(16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36)$,,
SIZE_SHOES,SIZE_SHOES_UK,^(0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17)$,,
LIQUIDMEASUREMENT,LIQUIDMEASUREMENT_FR_KL,^[0-9]+(\.\d+)?\s+(KL|KILOLITRE)$,,
LIQUIDMEASUREMENT,LIQUIDMEASUREMENT_EN_KL,^[0-9]+(\.\d+)?\s+(KL|KILOLITER)$,,
LIQUIDMEASUREMENT,LIQUIDMEASUREMENT_FR_DAL,^[0-9]+(\.\d+)?\s+(DAL|D�CALITRE)$,,
LIQUIDMEASUREMENT,LIQUIDMEASUREMENT_EN_DAL,^[0-9]+(\.\d+)?\s+(DAL|DECALITER)$,,
LIQUIDMEASUREMENT,LIQUIDMEASUREMENT_FR_L,^[0-9]+(\.\d+)?\s+(L|LITRE|LITRES)$,,
LIQUIDMEASUREMENT,LIQUIDMEASUREMENT_EN_L,^[0-9]+(\.\d+)?\s+(L|LITER|LITERS)$,,
LIQUIDMEASUREMENT,LIQUIDMEASUREMENT_FR_DL,^[0-9]+(\.\d+)?\s+(DL|D�CILITRE|D�CILITRES)$,,
LIQUIDMEASUREMENT,LIQUIDMEASUREMENT_EN_DL,^[0-9]+(\.\d+)?\s+(DL|DECILITER|DECILITERS)$,,
LIQUIDMEASUREMENT,LIQUIDMEASUREMENT_FR_CL,^[0-9]+(\.\d+)?\s+(CL|CENTILIRE|CENTILITRES)$,,
LIQUIDMEASUREMENT,LIQUIDMEASUREMENT_EN_CL,^[0-9]+(\.\d+)?\s+(CL|CENTILIRE|CENTILITRES)$,,
LIQUIDMEASUREMENT,LIQUIDMEASUREMENT_FR_ML,^[0-9]+(\.\d+)?\s+(ML|MILLILITRE|MILLITRES)$,,
LIQUIDMEASUREMENT,LIQUIDMEASUREMENT_EN_ML,^[0-9]+(\.\d+)?\s+(ML|MILLILITER|MILLITERS)$,,
ANGLE,DEGREE_FR,^(0?[0-9](\.\d+)?|[1-9][0-9](\.\d+)?|[0-2][0-9][0-9](\.\d+)?|[3-3][0-5][0-9](\.\d+)?|360)\s+(�|DEGR�|DEGR�S)$,,
ANGLE,DEGREE_EN,^(0?[0-9](\.\d+)?|[1-9][0-9](\.\d+)?|[0-2][0-9][0-9](\.\d+)?|[3-3][0-5][0-9](\.\d+)?|360)\s+(�|DEGREE|DEGREES)$,,
ANGLE,RADIAN,^(([0-9]+(\/)[0-9]+)|[0-9]+(\.\d+)?)(|PI)\s+(RAD|RADIAN|RADIANS)$,,
ANGLE,GRADE,^(0?[0-9](\.\d+)?|[1-9][0-9](\.\d+)?|[1-3][0-9][0-9](\.\d+)?|400)\s+(GONE|GONES)$,,
ANGLE,ROUND_FR,^(([0-9]+(\/)[0-9]+)|[0-9]+(\.\d+)?)\s+(TOURS|TOURS)$,,
ANGLE,ROUND_EN,^(([0-9]+(\/)[0-9]+)|[0-9]+(\.\d+)?)\s+(GROUND|GROUNDS)$,,
TRIGONOMETRY,TRIGONOMETRY_COS,^(COS|COSINUS)\s?[\+-]?((([0-9]+(\/)[0-9]+)|[0-9]+(\.\d+)?)(|PI))|(\([01]\))$,,
TRIGONOMETRY,TRIGONOMETRY_SIN,^(SIN|SINUS)\s?[\+-]?((([0-9]+(\/)[0-9]+)|[0-9]+(\.\d+)?)(|PI))|(\([01]\))$,,
TRIGONOMETRY,TRIGONOMETRY_TAN,^(TAN|TG|TANGENTE)\s?[\+-]?((([0-9]+(\/)[0-9]+)|[0-9]+(\.\d+)?)(|PI))|(\([01]\))$,,
TRIGONOMETRY,TRIGONOMETRY_ARCCOS,^(ARCOS|ARC_COSINUS)\s?[\+-]?((([0-9]+(\/)[0-9]+)|[0-9]+(\.\d+)?)(|PI))|(\([01]\))$,,
TRIGONOMETRY,TRIGONOMETRY_ARCSIN,^(ARCSIN|ARC_SINUS)\s?[\+-]?((([0-9]+(\/)[0-9]+)|[0-9]+(\.\d+)?)(|PI))|(\([01]\))$,,
TRIGONOMETRY,TRIGONOMETRY_ARCTAN,^(ARCTAN|ARCTG|ARC_TANGENTE)\s?[\+-]?((([0-9]+(\/)[0-9]+)|[0-9]+(\.\d+)?)(|PI))|(\([01]\))$,,
TRIGONOMETRY,TRIGONOMETRY_COTAN,^(COTAN|COT|COTANGENTE)\s?[\+-]?((([0-9]+(\/)[0-9]+)|[0-9]+(\.\d+)?)(|PI))|(\([01]\))$,,
NUMBER,BINARY_NUMBER,^(([0-1])*$ )$,,
NUMBER,HEXADECIMAL_NUMBER ,^(([0-9a-fA-F]){8}$)$,,
NUMBER,ROMAN_NUMERIALS ,"^(?=[MDCLXVI])((M{0,3})((C[DM])|(D?C{0,3}))?((X[LC])|(L?XX{0,2})|L)?((I[VX])|(V?(II{0,2}))|V)?)$",,
NUMBER,REAL_NUMBER,^([-+]?\d+(\.\d+)?$)$,,
NUMBER,SEQUENCE_OF REAL_NUMBERS ,"^((\d?)|(([-+]?\d+\.?\d*)|([-+]?\d*\.?\d+))|(([-+]?\d+\.?\d*\,\ ?)*([-+]?\d+\.?\d*))|(([-+]?\d*\.?\d+\,\ ?)*([-+]?\d*\.?\d+))|(([-+]?\d+\.?\d*\,\ ?)*([-+]?\d*\.?\d+))|(([-+]?\d*\.?\d+\,\ ?)*([-+]?\d+\.?\d*)))$",,
NUMBER,SIGNED_INTEGER,^((\+|-)?\d+$)$,,
NUMBER,INTEGER_NUMBERS_WITH DECIMALS,"^(([0-9]*\,?[0-9]+|[0-9]+\,?[0-9]*)?$)$",,
NUMBER,DECIMAL_NUMBER,^(\d*[0-9](|.\d*[0-9]|)*$)$,,
FLOATING_PONIT_PROCESSING,FLOATING_PONIT_PROCESSING_KFLOPS,^[0-9]+(\.\d+)?\s+(KFLOPS|KIOFLOPS)$,,
FLOATING_PONIT_PROCESSING,FLOATING_PONIT_PROCESSING_FR_MFLOPS,^[0-9]+(\.\d+)?\s+(MFLOPS|M�GAFLOPS)$,,
FLOATING_PONIT_PROCESSING,FLOATING_PONIT_PROCESSING_EN_MFLOPS,^[0-9]+(\.\d+)?\s+(MFLOPS|MEGAFLOPS)$,,
FLOATING_PONIT_PROCESSING,FLOATING_PONIT_PROCESSING_GFLOPS,^[0-9]+(\.\d+)?\s+(GFLOPS|GIGAFLOPS)$,,
FLOATING_PONIT_PROCESSING,FLOATING_PONIT_PROCESSING_TFLOPS,^[0-9]+(\.\d+)?\s+(TFLOPS|TERAFLOPS)$,,
FLOATING_PONIT_PROCESSING,FLOATING_PONIT_PROCESSING_FR_PFLOPS,^[0-9]+(\.\d+)?\s+(PFLOPS|P�TAFLOPS)$,,
FLOATING_PONIT_PROCESSING,FLOATING_PONIT_PROCESSING_EN_PFLOPS,^[0-9]+(\.\d+)?\s+(PFLOPS|PETAFLOPS)$,,
FLOATING_PONIT_PROCESSING,FLOATING_PONIT_PROCESSING_EFLOPS,^[0-9]+(\.\d+)?\s+(EFLOPS|EXAFLOPS)$,,
FLOATING_PONIT_PROCESSING,FLOATING_PONIT_PROCESSING_ZFLOPS,^[0-9]+(\.\d+)?\s+(ZFLOPS|ZETTAFLOPS)$,,
FLOATING_PONIT_PROCESSING,FLOATING_PONIT_PROCESSING_YFLOPS,^[0-9]+(\.\d+)?\s+(YFLOPS|YOTTAFLOPS)$,,
IMAGE_UNIT,IMAGE_PX,^[0-9]+(\.\d+)?\s+(PX|PIXEL|PIXELS)$,,
IMAGE_UNIT,IMAGE_SX,^[0-9]+(\.\d+)?\s+(SX|SIXEL|SIXELS|SIX_PIXELS)$,,
IMAGE_UNIT,IMAGE_DX,^[0-9]+(\.\d+)?\s+(DX|DEXEL|DEXELS|DEPTH_PIXELS)$,,
IMAGE_UNIT,IMAGE_VX,^[0-9]+(\.\d+)?\s+(VX|VXEL|VOXEL)$,,
COMPUTERSTORAGECAPACITY,COMPUTERSTORAGECAPACITY_KO,^[0-9]+(\.\d+)?\s+(KO|KB|KILO-OCTETS)$,,
COMPUTERSTORAGECAPACITY,COMPUTERSTORAGECAPACITY_MO,^[0-9]+(\.\d+)?\s+(MO|MB|MEGA-OCTETS)$,,
COMPUTERSTORAGECAPACITY,COMPUTERSTORAGECAPACITY_GO,^[0-9]+(\.\d+)?\s+(GO|GB|GIGA-OCTETS)$,,
COMPUTERSTORAGECAPACITY,COMPUTERSTORAGECAPACITY_O,^[0-9]+(\.\d+)?\s+(O|OCTETS)$,,
ODOR,ODOR_FR,^[0-9]+(\.\d+)?\s+(OLFACTOM�TRIE|OLFACTOM�TRIES)$,,
ODOR,ODOR_EN,^[0-9]+(\.\d+)?\s+(OLFACTOMETRIE|OLFACTOMERIES)$,,
VISON,VISON ,^[0-9]+(\.\d+)?\s+(DIOPTRIE|DIOPTRIES)$,,
HEARTBEAT,HEARTBEAT_FR,^[0-9]+(\.\d+)?\s+(BPM|BATTEMENT/MINUTE|BATTEMENT/MIN)$,,
HEARTBEAT,HEARTBEAT_EN,^[0-9]+(\.\d+)?\s+(BPM|BEAT/MINUTE|BEAT/MIN)$,,
CIVILITY,CIVILITY_EN,^(M \.|MRS|MS|MISTER|MISS)$,,
GENDER,GENDER_FR,^(F|M|MASCULIN|F�MININ|FEMELLE|MALE)$,,
CREDITCARDNUMBER,CREDITCARDNUMBER,^( ^ (?: 4 [0-9] {12} (?: [0-9] {3})? | 5 [1-5] [0-9] {14} | 6 (?: 011 | 5 [ 0-9] [0-9]) [0-9] {12} | 3 [47] [0-9] {13} | 3 (?: 0 [0-5] | [68] [0-9 ]) [0-9] {11} | (?: 2131 | 1800 | 35 \ d {3}) \ d {11}) $ )$,,
MASTERCARDNUMBER,MASTERCARDNUMBER,^([51|52|53|54|55]{2})([0-9]{14})$,,
IBAN-BANKCODE,IBAN-BANKCODE,^([A-Z]{2}[0-9]{2}\s[0-9]{4}\s[0-9]{4}\s[0-9]{4}\s[0-9]{4}\s[0-9]{4}\s[0-9]0[1-9]|[1-9][0-7]$)$,,
BIC-BANKCODE,BIC-BANKCODE,^([A-Z]{6}[A-Z0-9]{5})$,,
RIB-BANKCODE,RIB-BANKCODE,^([0-9]{5}\s[0-9]{5}\s[a-z0-9]{11}\0[1-9]|[1-9][0-7]$)$,,
 ISBN, ISBN,"^ISBN\x20[:]?(?=.{13}$)\d{1,5}([- ])\d{1,7}\1\d{1,6}\1(\d|X)$",,
PASSWORD,PASSWORD  TO A LENGTH OF 8 TO 20  ,"^((?=[^\d_].*?\d)\w(\w|[!@#$%]){7,20})$",,
JEWELRY,DIAMANT_CARAT,^([0-9]+(\.\d+)?\s+(CARAT|CARATS|KT|K|CT))$,,
JEWELRY,OR_CARAT,^([0-9]+(\.\d+)?\s+(CARAT|CARATS|KT|K|CT))$,,
