CATEGORY,SUBCATEGORY,REGEXPR,PRIMARYKEY,FOREIGNKEY
ATOMIC_MASS,ATOMIC_MASS_GMOL,^[0-9]+(\.\d+)?\s+(GMOL|GIGAMOLE|GIGAMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_FR_MMOL,^[0-9]+(\.\d+)?\s+(MMOL|M�GAMOLE|M�GAMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_EN_MMOL,^[0-9]+(\.\d+)?\s+(MMOL|MEGAMOLES|MEGAMOLE)$,,
ATOMIC_MASS,ATOMIC_MASS_KMOL,^[0-9]+(\.\d+)?\s+(KMOL|KILOMOLE|KILOMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_HMOL,^[0-9]+(\.\d+)?\s+(HMOL|HECTOMOLE|HECTOMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_FR_DAMOL,^[0-9]+(\.\d+)?\s+(DAMOL|D�CAMOLE|D�CAMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_EN_DAMOL,^[0-9]+(\.\d+)?\s+(DAMOL|DECAMOLES|DECAMOLE)$,,
ATOMIC_MASS,ATOMIC_MASS_MOL,^[0-9]+(\.\d+)?\s+(MOL|MOLE|MOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_FR_DMOL,^[0-9]+(\.\d+)?\s+(DMOL|D�CAMOLE|D�CAMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_EN_DMOL,^[0-9]+(\.\d+)?\s+(DMOL|DECAMOLES|DECAMOLE)$,,
ATOMIC_MASS,ATOMIC_MASS_CMOL,^[0-9]+(\.\d+)?\s+(CMOL|CENTIMOLE|CENTIMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_MMOL,^[0-9]+(\.\d+)?\s+(MMOL|MILLIMOLE|MILLIMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_UMOL,^[0-9]+(\.\d+)?\s+(UMOL|MICROMOLE|MICROMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_NMOL,^[0-9]+(\.\d+)?\s+(NMOL|NANOMOLE|NANOMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_PMOL,^[0-9]+(\.\d+)?\s+(PMOL|PICOOMOLE|PICOMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_FMOL,^[0-9]+(\.\d+)?\s+(FMOL|FEMTOMOLE|FEMTOMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_AMOL,^[0-9]+(\.\d+)?\s+(AMOL|ATTOMOLE|ATTOMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_ZPMOL,^[0-9]+(\.\d+)?\s+(ZPMOL|ZEPTOMOLE|ZEPTOMOLES)$,,
ATOMIC_MASS,ATOMIC_MASS_YCMOL,^[0-9]+(\.\d+)?\s+(YCMOL|YOCTOMOLE|YOCTOMOLES)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_BOUGIE,^[0-9]+(\.\d+)\s+(BOUGIE)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_YCD,^[0-9]+(\.\d+)\s+(YCD|YOTTACANDELA|YOTTACANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_ZCD,^[0-9]+(\.\d+)\s+(ZCD|ZETTACANDELA|ZETTACANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_ECD,^[0-9]+(\.\d+)\s+(ECD|EXACANDELA|EXACANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_FR_PCD,^[0-9]+(\.\d+)\s+(P�TACANDELA|PCD|P�TACANDELA)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_EN_PCD,^[0-9]+(\.\d+)\s+(PCD|PETACANDELA|PETACANDELA)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_FR_TCD,^[0-9]+(\.\d+)?\s+(T�RACANDELA|TCD|T�ERACANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_EN_TCD,^[0-9]+(\.\d+)?\s+(TCD|TERACANDELA|TERACANDELA)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_GCD,^[0-9]+(\.\d+)?\s+(GCD|GIGACANDELA|GIGACANDELAS)$,,
UNIT_LIGHT_INTENSITY,UNIT_LIGHT_INTENSITY_FR_MGCD,^[0-9]+(\.\d+)?\s+(MGCD|M�GACANDELA|M�GACANDELAS)$,,
